Reg 0 - Cid 0: menor: 0, maior: 94, mediana: 62.50, media: 53.38 e DP: 31.82
Reg 0 - Cid 1: menor: 0, maior: 98, mediana: 54.50, media: 52.69 e DP: 27.64
Reg 0 - Cid 2: menor: 1, maior: 94, mediana: 59.50, media: 56.69 e DP: 28.44
Reg 0 - Cid 3: menor: 4, maior: 96, mediana: 53.00, media: 48.31 e DP: 28.48
Reg 0 - Cid 4: menor: 0, maior: 95, mediana: 43.50, media: 44.00 e DP: 26.94
Reg 0 - Cid 5: menor: 23, maior: 95, mediana: 63.00, media: 62.56 e DP: 23.28
Reg 0 - Cid 6: menor: 5, maior: 80, mediana: 46.00, media: 42.88 e DP: 27.06
Reg 0 - Cid 7: menor: 4, maior: 97, mediana: 49.00, media: 52.19 e DP: 27.75
Reg 0 - Cid 8: menor: 0, maior: 89, mediana: 41.00, media: 46.56 e DP: 29.28
Reg 0 - Cid 9: menor: 0, maior: 95, mediana: 45.00, media: 47.12 e DP: 34.82
Reg 0 - Cid 10: menor: 1, maior: 90, mediana: 59.00, media: 50.62 e DP: 28.17
Reg 0 - Cid 11: menor: 11, maior: 91, mediana: 45.50, media: 46.19 e DP: 22.58
Reg 0 - Cid 12: menor: 8, maior: 100, mediana: 67.00, media: 60.25 e DP: 29.29
Reg 0 - Cid 13: menor: 4, maior: 95, mediana: 40.50, media: 45.75 e DP: 24.30

Reg 1 - Cid 0: menor: 5, maior: 96, mediana: 62.50, media: 55.50 e DP: 30.54
Reg 1 - Cid 1: menor: 5, maior: 90, mediana: 50.50, media: 52.00 e DP: 25.09
Reg 1 - Cid 2: menor: 2, maior: 97, mediana: 60.00, media: 54.69 e DP: 32.05
Reg 1 - Cid 3: menor: 7, maior: 75, mediana: 38.00, media: 36.81 e DP: 19.02
Reg 1 - Cid 4: menor: 12, maior: 85, mediana: 45.50, media: 46.88 e DP: 20.52
Reg 1 - Cid 5: menor: 0, maior: 95, mediana: 65.50, media: 59.50 e DP: 27.97
Reg 1 - Cid 6: menor: 8, maior: 95, mediana: 47.50, media: 51.56 e DP: 26.65
Reg 1 - Cid 7: menor: 1, maior: 79, mediana: 33.00, media: 38.25 e DP: 24.43
Reg 1 - Cid 8: menor: 1, maior: 96, mediana: 33.00, media: 45.75 e DP: 34.76
Reg 1 - Cid 9: menor: 0, maior: 100, mediana: 43.50, media: 47.81 e DP: 34.10
Reg 1 - Cid 10: menor: 1, maior: 98, mediana: 62.50, media: 56.31 e DP: 28.32
Reg 1 - Cid 11: menor: 3, maior: 97, mediana: 32.50, media: 42.31 e DP: 29.92
Reg 1 - Cid 12: menor: 2, maior: 86, mediana: 54.00, media: 52.94 e DP: 25.32
Reg 1 - Cid 13: menor: 2, maior: 86, mediana: 43.50, media: 43.19 e DP: 26.70

Reg 2 - Cid 0: menor: 12, maior: 94, mediana: 47.50, media: 53.12 e DP: 27.51
